ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA,gols_pro_mandante,gols_pro_visitante,gols_sofridos_mandante,gols_sofridos_visitante,saldo_gols_mandante,saldo_gols_visitante,vitorias_mandante,vitorias_visitante,empates_mandante,empates_visitante,derrotas_mandante,derrotas_visitante,dia,mes,resultado_partida,pred_resultado_partida,pred_gols_mandante,pred_gols_visitante
1.0,0.987100591715976,0.0,0.8072289156626506,0.217391304347826,0.3280918949906568,0.1971008165607045,0.0833333333333333,0.6875,0.1627906976744186,0.1620553359683794,0.782608695652174,0.2608695652173913,0.6783373990316799,1.0527604916887296,0.3818639450231136,0.1292000740789988,2.0,2.0,1.245670443014533,-0.97312496172793,-1.2529554777836502,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,0,2,1.354232668876648,1.091415524482727
1.0,0.987100591715976,0.0,0.0240963855421686,0.217391304347826,0.3280918949906568,0.1971008165607045,0.25,0.8541666666666666,0.1627906976744186,0.1620553359683794,0.6956521739130435,0.1739130434782608,-0.3957488041150546,0.4993156726745955,0.3835589696030061,-0.5263477305420222,4.0,2.0,1.0750209303695433,-0.9216430126275929,-1.1674528752593671,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,1,2,1.3438607454299927,1.06961989402771
1.0,0.987100591715976,0.0,0.9759036144578314,0.217391304347826,0.3280918949906568,0.1971008165607045,0.2708333333333333,0.375,0.1627906976744186,0.1620553359683794,0.6521739130434783,0.5217391304347826,0.658035887920258,-0.6911727461313947,0.0786598294833466,0.0108594786393483,1.0,2.0,0.1250425304829062,-0.3470991123393136,-0.6161243244159433,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,-1,2,1.3787962198257446,1.0353260040283203
1.0,0.987100591715976,0.0,0.5783132530120483,0.217391304347826,0.3280918949906568,0.1971008165607045,0.2916666666666666,0.7916666666666666,0.1627906976744186,0.1620553359683794,0.6086956521739131,0.217391304347826,-0.6813002527725333,0.2719147604727652,-0.1124160362529128,-1.5521240335978803,0.0,1.0,0.7443085954400285,-1.3675211776985083,-0.8460597307924027,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,-1,2,1.387000560760498,1.050398349761963
1.0,0.987100591715976,0.0,0.5903614457831325,0.217391304347826,0.3280918949906568,0.1971008165607045,0.3958333333333333,1.0,0.1627906976744186,0.1620553359683794,0.4782608695652174,0.0,-0.9845439448065249,0.3358547684095887,-0.4883143183824354,2.5893815264237306e-15,2.0,0.0,-0.5973954145480654,-0.2744290714194711,0.3819853328881085,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,1,2,1.485480785369873,0.9613354802131653
1.0,0.987100591715976,0.0,0.5301204819277109,0.217391304347826,0.3280918949906568,0.1971008165607045,0.4583333333333333,0.5416666666666666,0.1627906976744186,0.1620553359683794,0.3913043478260869,0.3478260869565217,0.3167416371347762,0.5608370086545736,-0.04302698182486,-0.0402226603643458,2.0,1.0,-0.98060781080609,0.7591466571844859,0.8759828951502118,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,1,2,1.536259412765503,0.9153868556022644
1.0,0.987100591715976,0.0,0.2409638554216867,0.217391304347826,0.3280918949906568,0.1971008165607045,0.5833333333333333,0.0416666666666666,0.1627906976744186,0.1620553359683794,0.3043478260869565,0.8260869565217391,0.4168079651901245,0.0771939724758149,0.3124269791225654,-0.7119003169962296,0.0,1.0,-0.2753010668267623,-0.59303894052313,-0.0491986889623719,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9,0.0,-1,2,1.5107182264328003,0.9631286263465881
1.0,0.9872189349112426,0.0,0.3012048192771084,0.217391304347826,0.3280918949906568,0.1971008165607045,0.9375,0.4375,0.1627906976744186,0.1620553359683794,0.1304347826086956,0.4347826086956522,0.7152481178821835,1.1679681708521676,-0.0508797361788803,0.1554254576072724,2.0,1.0,2.0893924793236214,-1.2608886483974704,-1.5132225784634474,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9333333333333332,0.0,1,2,1.2153947353363037,1.1067676544189453
1.0,0.9872189349112426,0.0,0.5301204819277109,0.217391304347826,0.3280918949906568,0.1971008165607045,0.9791666666666666,0.9583333333333331,0.1627906976744186,0.1620553359683794,0.0434782608695652,0.0869565217391304,0.3379507302769394,-0.4477564897212264,2.641144751217104e-15,-0.343060681303428,2.0,1.0,-0.415974149226847,-0.3714349085548058,0.0816998752605192,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9333333333333332,0.0,1,2,1.6245224475860596,0.9459296464920044
1.0,0.9873372781065086,0.0,0.746987951807229,0.217391304347826,0.3280918949906568,0.1971008165607045,0.1666666666666666,0.3333333333333333,0.1627906976744186,0.1620553359683794,0.7391304347826086,0.5652173913043479,-0.233514457402049,0.135110500824779,0.0665138130111448,0.160166846399134,4.0,0.0,0.40612122697415,-1.0508253591272612,-0.6480051074620717,0.0,0.0,0.0,0.0,0.022287186260137,-0.0081178081999676,0.0,0.0,0,0,0.0,0.0,0.9666666666666668,0.0,1,2,1.3970580101013184,1.0424667596817017
