ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA,missing_rodada,gols_pro_mandante,gols_pro_visitante,gols_sofridos_mandante,gols_sofridos_visitante,saldo_gols_mandante,saldo_gols_visitante,vitorias_mandante,vitorias_visitante,empates_mandante,empates_visitante,derrotas_mandante,derrotas_visitante,missing_colocacao_mandante,missing_colocacao_visitante,dia,mes,resultado_vitoria_mandante,resultado_vitoria_visitante,resultado_empate,gols_sofridos_media_mandante,gols_sofridos_media_visitante,gols_marcados_media_mandante,gols_marcados_media_visitante,vitorias_confronto_mandante,vitorias_confronto_visitante,empates_confronto,vitorias_seguidas_mandante,vitorias_seguidas_visitante,colocacao_media_mandante,colocacao_media_visitante,derrotas_seguidas_mandante,derrotas_seguidas_visitante,elo_mandante,elo_visitante
2006,1145664.0,2,44,45,26213.87583382067,80202.6332663344,5,34,42,41,9.0,16.0,5547948.832218612,3717447.019475232,25.60206718346253,26.123076923076923,4.0,0.0,1.8309385893661767,3.571502522800622,4.649686326899184,0,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,22,4,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.477835162470411,13.0,0.0,1.0,1500.0,1485.7058312015474
2006,1145664.0,2,64,45,7993.52635401139,19908.0,36,8,42,41,13.0,7.0,2634431.722619564,4199725.692234487,27.381366459627326,27.35673249551167,1.0,2.0,2.1276998308506534,3.420517712773679,3.827415366535795,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,22,4,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.477835162470411,4.0,0.0,0.0,1500.0,1513.7352046042927
2006,1145664.0,2,81,45,29010.807790549174,50198.75862068965,39,20,42,41,16.0,18.0,4143385.073615766,3581252.986438004,28.76,25.80324074074074,0.0,0.0,1.9471789684243848,3.528402003504652,4.402264073044134,0,0,0,1,2,-1,-2,0,0,0,0,1,1,0,0,22,4,0,0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,1.0,1.0,1484.8932387452746,1482.181105245244
2006,1145750.4,2,20,45,19475.92385436123,55295.2775564409,5,22,42,41,5.0,12.0,5071684.51054619,3450968.7347982894,25.60206718346253,27.20938461538461,1.0,2.0,1.9549960875090344,3.513443721309749,4.353752624427881,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,23,4,0,1,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,11.225521842048634,0.0,0.0,1520.7996695710679,1500.0
2006,1145750.4,2,40,45,20747.001073390547,60075.46075071399,13,44,42,41,18.0,8.0,4953927.223592699,3671507.2793360846,27.37307060755337,27.2184916533658,3.0,0.0,1.9005653360230592,3.5300659419763503,4.461350453963781,0,0,2,2,1,-2,1,0,1,0,0,1,0,0,0,23,4,1,0,0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,1.0,0.0,1483.1778786033785,1513.7352046042927
2006,1145750.4,2,50,45,6143.333452194171,19727.935815147623,25,16,42,41,14.0,17.0,2772056.879320397,4178213.1242337967,26.75765472312704,27.428761904761902,2.0,3.0,2.1276936291432653,3.4205269462349173,3.8274472187209705,0,0,1,0,2,0,-1,0,0,0,0,0,1,0,0,23,4,0,1,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.477835162470411,8.0,0.0,1.0,1500.0,1486.2647953957073
2006,1145750.4,2,28,45,8052.153846153846,20302.418604651164,25,42,42,41,17.0,16.0,2634047.0059932075,4199368.082759549,26.75765472312704,26.1978431372549,0.0,0.0,2.127690793101618,3.4205142787584264,3.827416894675421,0,2,0,3,0,-1,0,0,0,0,0,1,0,0,0,23,4,0,0,1,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.225521842048634,1.0,0.0,1484.8932387452746,1500.0
2006,1145750.4,2,39,45,22617.326947600017,57855.14667010534,31,42,42,41,11.0,13.0,4756296.16577315,3868445.087387839,27.911029411764705,26.1978431372549,3.0,2.0,1.9161523481080056,3.5256348733571987,4.422311398102931,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,23,4,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,0.0,0.0,1500.55896419416,1499.853026179893
2006,1145750.4,2,44,45,26213.87583382067,80202.6332663344,33,36,42,41,17.0,18.0,5547837.191393389,3717479.484407183,27.38627450980393,27.381366459627326,2.0,3.0,1.8309381998743688,3.57150269705264,4.649687911028002,0,0,1,0,2,0,-1,0,0,0,0,0,1,0,0,23,4,0,1,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.477835162470411,13.0,0.0,1.0,1500.0,1486.0098975509907
2006,1145750.4,2,73,45,12749.0,44467.67838615156,42,44,42,41,15.0,13.0,3216205.9187612347,3553933.2734161173,26.1978431372549,27.2184916533658,1.0,0.0,1.9907174463281228,3.4922434196663343,4.229124931889521,0,2,2,3,4,-1,-2,0,1,1,0,1,1,0,0,23,4,1,0,0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.5,11.5,1.0,1.0,1486.1465308060394,1492.553208837785
2006,1146268.8,3,62,45,14832.631624082072,47181.89943765894,20,33,42,41,17.0,18.0,3412954.180287407,3697906.5598081993,25.80324074074074,27.38627450980393,6.0,1.0,1.9879741235020565,3.495086336127732,4.242024442543904,0,0,2,2,3,-2,-1,0,0,1,0,1,1,0,0,29,4,1,0,0,1.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.5,17.0,0.0,1.0,1482.546826674541,1484.8829120876899
2006,1146268.8,3,40,45,20747.001073390547,60075.46075071399,22,25,42,41,11.0,16.0,4954215.573873328,3671576.706236737,27.20938461538461,26.75765472312704,1.0,0.0,1.9005634415202408,3.5300668255716183,4.461354803700721,0,2,2,1,3,1,-1,1,0,0,1,0,1,0,0,29,4,1,0,0,0.5,1.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,15.5,0.0,0.0,1515.3925420406717,1485.0402125653816
2006,1146268.8,3,25,45,23811.147226319576,68446.82369364271,44,22,42,41,15.0,3.0,4815024.597693258,3684101.727031109,27.28430600084133,27.20938461538461,1.0,1.0,1.8769709288497287,3.5386384817476526,4.497895234011062,0,2,3,5,1,-3,2,1,2,0,0,2,0,0,0,29,4,0,0,1,2.5,0.5,1.0,1.5,0.0,0.0,0.0,0.0,2.0,12.0,11.5,2.0,0.0,1478.5573317923706,1527.899508604607
2006,1146355.2,3,17,45,7631.681818181818,34262.666666666664,16,26,42,41,13.0,11.0,2800994.6042227163,4144394.8251728886,27.428761904761902,27.15382113821138,3.0,1.0,2.029376823671051,3.4792374932924384,4.112274407729974,0,4,2,4,0,0,2,1,1,0,0,1,0,0,0,30,4,1,0,0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,12.5,11.0,0.0,0.0,1501.3715566504327,1516.8221213966215
2006,1146355.2,3,20,45,19475.92385436123,55295.2775564409,21,31,42,41,18.0,5.0,5028839.547880895,3449602.362853168,27.42225656877898,27.911029411764705,3.0,1.0,1.9549933997547184,3.513443545413299,4.353753417515792,0,1,4,4,3,-3,1,0,2,0,0,2,1,0,0,30,4,1,0,0,2.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,2.0,12.5,14.333333333333334,2.0,0.0,1470.812831722879,1514.2654595680135
2006,1146355.2,3,44,45,26213.87583382067,80202.6332663344,23,13,42,41,15.0,12.0,5801330.828244017,3575872.741096308,29.371559633027523,27.37307060755337,0.0,4.0,1.8309354568803455,3.5715039288424224,4.649699077023144,0,1,3,1,2,0,1,1,1,0,0,1,1,0,0,30,4,0,1,0,0.5,1.0,0.5,1.5,0.0,0.0,0.0,1.0,1.0,13.5,12.0,0.0,0.0,1501.3715566504327,1504.3598743698863
2006,1146355.2,3,50,45,6143.333452194171,19727.935815147623,28,39,42,41,9.0,17.0,2772387.3994367626,4178400.079173178,27.68752052545156,28.76,1.0,0.0,2.127694494441247,3.4205278107928563,3.8274493035353534,0,2,0,1,1,1,-1,1,0,1,1,0,1,0,0,30,4,1,0,0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,14.5,0.0,0.0,1514.093096874093,1484.5275173159775
2006,1146355.2,3,64,45,7993.52635401139,19908.0,34,8,42,41,19.0,6.0,2634812.145924277,4200139.102452388,26.123076923076923,27.35673249551167,0.0,0.0,2.1277008639811847,3.420518635978728,3.827417522194254,0,0,3,5,1,-5,2,0,2,0,0,2,0,0,0,30,4,0,0,1,2.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,2.0,14.5,5.5,2.0,0.0,1464.9061616304796,1527.725307053302
2006,1146355.2,3,28,45,8052.153846153846,20302.418604651164,36,46,42,41,13.0,9.0,2634366.907509976,4199716.871715393,27.381366459627326,26.738317757009344,1.0,2.0,2.127691642012823,3.420515065596861,3.827418790063766,0,4,4,4,2,0,2,1,1,0,1,1,0,0,0,30,4,0,1,0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,15.5,8.0,0.0,0.0,1501.1269854633008,1515.8170764161443
2006,1146355.2,3,0,45,21640.167857928987,43243.61885245902,42,5,42,41,10.0,12.0,3411589.3990640296,3882577.864749584,26.1978431372549,25.60206718346253,2.0,0.0,1.990389575220254,3.499350759744987,4.238491149773154,0,3,5,3,2,0,3,1,1,1,0,1,1,0,0,30,4,1,0,0,1.5,1.0,1.5,2.5,0.0,0.0,0.0,1.0,0.0,14.666666666666666,7.0,0.0,1.0,1500.1424078514538,1505.407127530396
2006,1146873.6,4,72,45,7597.105454652966,20119.785817307693,23,44,42,41,16.0,11.0,2769461.1600461723,4183066.620223674,29.371559633027523,27.2184916533658,2.0,1.0,2.1276941675040684,3.420519195583915,3.8274275053535134,0,1,3,5,6,-4,-3,1,1,0,1,2,2,0,0,6,5,1,0,0,1.6666666666666667,2.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,14.0,12.75,1.0,0.0,1478.5596717981264,1479.684875520618
2006,1146873.6,4,45,45,9961.055555555557,59518.333333333336,23,45,42,41,10.0,7.0,5298191.173773249,3418457.066745784,29.371559633027523,27.19882154882155,1.0,0.0,1.9485294835184928,3.5018650455745086,4.305159553573872,0,3,3,6,0,-3,3,2,2,0,0,2,0,0,0,6,5,1,0,0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,14.5,9.5,0.0,0.0,1492.3406432590568,1530.8310943459323
2006,1146873.6,4,44,45,26213.87583382067,80202.6332663344,45,39,42,41,9.0,18.0,5800275.365542754,3576383.474675065,27.19882154882155,28.76,4.0,0.0,1.8309330826995327,3.571504998164881,4.649708747002001,0,3,0,1,2,2,-2,2,0,0,1,1,2,0,0,6,5,1,0,0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,15.333333333333334,1.0,1.0,1515.531866163426,1471.9889465236006
2006,1146960.0,4,81,45,29010.807790549174,50198.75862068965,8,5,42,41,6.0,13.0,4141855.890311129,3582516.722197244,27.35673249551167,25.60206718346253,0.0,4.0,1.947176603313576,3.5283999301949565,4.402257970321727,0,3,5,1,4,2,1,2,1,1,0,0,2,0,0,7,5,0,1,0,0.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,5.666666666666667,8.666666666666666,0.0,2.0,1526.2166545421376,1488.3226700679004
2006,1146960.0,4,51,45,16267.33170940938,44467.67838615156,28,21,42,41,6.0,16.0,3316775.9377235486,3566284.3835440576,27.68752052545156,27.42225656877898,1.0,0.0,1.990715525473133,3.4922451419823983,4.229142787670445,0,3,4,1,5,2,-1,2,1,1,0,0,2,0,0,7,5,1,0,0,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.0,0.0,0.0,1.0,1.0,8.666666666666666,14.333333333333334,0.0,0.0,1526.6316676664699,1489.7959000549572
2006,1146960.0,4,44,45,26213.87583382067,80202.6332663344,31,25,42,41,11.0,17.0,5800095.88739709,3576469.9184093727,27.911029411764705,26.75765472312704,1.0,1.0,1.830932685036788,3.571505177698067,4.649710367561527,0,5,2,6,4,-1,-2,2,0,0,1,2,2,0,0,7,5,0,0,1,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,12.0,15.666666666666666,1.0,1.0,1495.2823912359354,1472.5332460014463
2006,1146960.0,4,8,45,12825.779786877283,42123.212055192445,33,42,42,41,20.0,5.0,3215653.4438856994,3488444.727673487,27.38627450980393,26.1978431372549,1.0,2.0,1.992246809438104,3.499898781992884,4.231507541271493,0,3,5,9,3,-6,2,0,2,0,1,2,1,0,0,7,5,0,1,0,3.0,1.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,2.0,17.5,13.5,2.0,0.0,1460.9282482096696,1517.2268653139495
2006,1146960.0,4,11,45,19432.028122613803,60540.0,34,26,42,41,18.0,14.0,4952861.195415771,3739014.414152448,26.123076923076923,27.15382113821138,5.0,2.0,1.900533708791556,3.5300791842629224,4.461428093681048,0,0,3,5,3,-5,0,0,1,1,0,2,1,0,0,7,5,1,0,0,1.6666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,1.0,1466.414814141644,1499.2299117149119
