ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,AvgCH,AvgCD,AvgCA,gols_pro_mandante,gols_pro_visitante,gols_sofridos_mandante,gols_sofridos_visitante,saldo_gols_mandante,saldo_gols_visitante,vitorias_mandante,vitorias_visitante,empates_mandante,empates_visitante,derrotas_mandante,derrotas_visitante,dia,mes,resultado_partida,gols_sofridos_media_mandante,gols_sofridos_media_visitante,gols_marcados_media_mandante,gols_marcados_media_visitante,vitorias_confronto_mandante,vitorias_confronto_visitante,vitorias_seguidas_mandante,vitorias_seguidas_visitante,colocacao_media_mandante,colocacao_media_visitante,derrotas_seguidas_mandante,derrotas_seguidas_visitante
2003,0.0,0.0,8,45,0.8359939086845781,0.7457666073322966,5,26,42,41,0.26086956521739135,0.6086956521739131,,,-1.2379327306872467,-0.040222660364345804,0.4999999999999999,0.0,0.16130364425914573,0.19867705476633324,0.33967405957960284,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.1818181818181818,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.0,0.0,22,45,0.8087625642207523,0.6585300739454207,27,46,42,41,0.8260869565217391,0.13043478260869565,,,0.2303704370925492,-0.343060681303428,0.7324867603589634,0.5283208335737187,0.15945504946361827,0.20568081734696841,0.34852627824085103,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.1818181818181818,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,81,45,0.9081252463590347,0.8071458190976468,13,4,42,41,0.3913043478260869,0.08695652173913043,,,0.0786598294833466,0.4168381450064988,0.0,0.6666666666666667,0.1601162344021574,0.19834630522301633,0.34060061280359366,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,42,45,0.8269733937722837,0.5039135345311223,15,22,42,41,1.0,0.4347826086956522,,,0.6320626237442196,0.0002745635450137999,0.4999999999999999,0.0,0.1724669348344225,0.1986363609806978,0.3329072270629474,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,39,45,0.8834691751946726,0.8570073850894335,16,44,42,41,0.9565217391304348,0.34782608695652173,,,0.12006163965129958,2.5893815264237302e-15,0.4999999999999999,0.5283208335737187,0.1546209690465824,0.2025957005103074,0.35078379546057414,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,49,45,0.8365945588214728,0.6811110161892913,19,20,42,41,0.8695652173913043,0.782608695652174,,,-0.48831431838243544,-1.024587922340999,0.31546487678572865,0.33333333333333337,0.15981949987320382,0.20491779163941604,0.3471571155351323,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,44,45,0.8991658406776509,0.9711241625770142,21,14,42,41,0.7391304347826086,0.30434782608695654,,,0.115225467772681,-0.06775454981168966,0.31546487678572865,0.33333333333333337,0.14224922533855416,0.20928368455564272,0.36442175084034245,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,40,45,0.8784962301867794,0.8700019965394779,23,18,42,41,0.9130434782608696,0.17391304347826086,,,1.5643688612841171,0.010859478639348342,0.0,0.0,0.15305575711880565,0.20656178112685186,0.35625767753615145,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,75,45,0.8350185564586319,0.7607395771740864,25,35,42,41,0.5652173913043479,0.5217391304347826,,,-0.37885028248183045,2.5893815264237302e-15,0.4999999999999999,0.5283208335737187,0.16115524523236946,0.1986423369039083,0.33990900227985843,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
2003,0.00011834319526604631,0.0,20,45,0.8729090091420953,0.840985657625906,28,36,42,41,0.6521739130434783,0.6956521739130435,,,0.31242697912256545,0.12562286082539748,0.31546487678572865,0.33333333333333337,0.1548888972731049,0.20230372498098492,0.35052671465594765,0.0,0.0,0.0,0.0,0.022287186260137083,-0.008117808199967678,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.1818181818181818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009430122087158413,-0.001424675075042547,0.0,0.0
